stock_id,name,buy_sell
2337,旺宏            ,50098759
2882,國泰金          ,42577179
2883,凱基金          ,33071943
1303,南亞            ,19377054
1326,台化            ,17727157
2027,大成鋼          ,15636637
00712,復華富時不動產  ,14474000
2881,富邦金          ,10820701
00878,國泰永續高股息  ,10487270
00631L,元大台灣50正2   ,9243520
00919,群益台灣精選高息,8582743
00992A,主動群益科技創新,8573500
00965,元大航太防衛科技,7948270
1717,長興            ,7678683
2542,興富發          ,5659338
2834,臺企銀          ,5428616
00830,國泰費城半導體  ,5280412
2451,創見            ,5238963
1301,台塑            ,5231912
3149,正達            ,4726000
3016,嘉晶            ,4527403
6165,浪凡            ,4179000
00929,復華台灣科技優息,4109010
2301,光寶科          ,3966912
3045,台灣大          ,3856242
3702,大聯大          ,3771673
2327,國巨*           ,3058507
4904,遠傳            ,3037006
2481,強茂            ,3027628
6505,台塑化          ,3003744
6706,惠特            ,2836565
2317,鴻海            ,2725060
2371,大同            ,2584137
2377,微星            ,2503224
3231,緯創            ,2420418
00988A,主動統一全球創新,2320350
2408,南亞科          ,2178609
0052,富邦科技        ,2140871
00900,富邦特選高股息30,2055354
2603,長榮            ,2052714
1711,永光            ,2009400
1409,新纖            ,2003000
2618,長榮航          ,1857476
00885,富邦越南        ,1845026
2382,廣達            ,1833396
00997A,主動群益美國增長,1785180
2014,中鴻            ,1776138
6205,詮欣            ,1755588
1528,恩德            ,1753800
00985B,群益ESG投等債0-5,1706000
