stock_id,name,buy_sell
2408,南亞科          ,9083132
0050,元大台灣50      ,8000000
2303,聯電            ,7814580
2317,鴻海            ,3780854
3450,聯鈞            ,2985000
2344,華邦電          ,1990849
3026,禾伸堂          ,1610000
2330,台積電          ,1479587
2449,京元電子        ,1377294
2313,華通            ,1167000
9938,百和            ,922168
2618,長榮航          ,827960
9907,統一實          ,742188
2855,統一證          ,663360
1608,華榮            ,572498
9941,裕融            ,570111
3033,威健            ,534049
2455,全新            ,478000
2393,億光            ,371357
8150,南茂            ,368000
2031,新光鋼          ,356349
9910,豐泰            ,355863
2368,金像電          ,355764
1307,三芳            ,350000
3443,創意            ,335960
8210,勤誠            ,329000
9802,鈺齊-KY         ,315000
1612,宏泰            ,300000
8070,長華*           ,297392
4958,臻鼎-KY         ,289126
6257,矽格            ,287000
00935,野村臺灣新科技50,286000
2204,中華            ,283955
6768,志強-KY         ,262739
6189,豐藝            ,262447
2548,華固            ,259000
2308,台達電          ,216687
2345,智邦            ,213702
3592,瑞鼎            ,211050
4746,台耀            ,208000
5534,長虹            ,205000
2731,雄獅            ,202000
6525,捷敏-KY         ,200000
3029,零壹            ,191426
4915,致伸            ,187898
1477,聚陽            ,183650
3711,日月光投控      ,183395
2006,東和鋼鐵        ,180175
1319,東陽            ,176759
3044,健鼎            ,165639
