Stock,StockID,Name,AssetType,IsETF,Close,Change,ChangePct,Volume,MA20,MA60,MA120,RSI14,High20,High120,Vol20,NearHigh20Pct,NearHigh120Pct
1319.TW,1319,東陽,未知,False,80.0,4.6,6.1,6282781,77.23,87.51,92.86,50.27,82.1,116.0,3244629.0,97.44,68.97
1477.TW,1477,聚陽,未知,False,220.5,8.0,3.76,3219792,216.9,264.18,284.06,55.0,227.0,344.0,1942128.35,97.14,64.1
1522.TW,1522,堤維西,未知,False,34.15,3.1,9.98,3029976,31.97,37.18,42.49,56.38,34.15,53.8,949762.3,100.0,63.48
1524.TW,1524,耿鼎,未知,False,30.25,1.85,6.51,3684205,28.92,29.86,29.96,57.14,31.1,36.75,973052.7,97.27,82.31
1608.TW,1608,華榮,未知,False,34.3,1.25,3.78,9297939,33.19,33.6,35.43,55.56,35.7,41.9,3973690.25,96.08,81.86
1725.TW,1725,元禎,未知,False,31.7,0.95,3.09,1262082,31.37,29.9,28.47,53.42,35.7,36.85,369886.55,88.8,86.02
2468.TW,2468,華經,未知,False,35.9,1.9,5.59,1120582,34.36,35.72,38.96,56.49,37.0,46.9,326417.65,97.03,76.55
2618.TW,2618,長榮航,未知,False,35.4,1.45,4.27,44049840,34.48,35.42,35.65,51.4,35.5,39.5,25344827.5,99.72,89.62
4912.TW,4912,聯德控股-KY,未知,False,91.4,8.3,9.99,1119267,86.19,89.09,88.62,52.78,92.8,111.0,468225.2,98.49,82.34
6605.TW,6605,帝寶,未知,False,130.0,4.0,3.17,717960,129.32,135.93,139.88,50.0,137.5,173.0,425804.95,94.55,75.14
6869.TW,6869,雲豹能源,未知,False,86.9,3.9,4.7,980525,84.57,95.77,97.12,51.0,89.6,123.5,552045.95,96.99,70.36
