Stock,StockID,Name,AssetType,IsETF,Close,Change,ChangePct,Volume,MA20,MA60,MA120,RSI14,High20,High120,Vol20,NearHigh20Pct,NearHigh120Pct
1101.TW,1101,台泥,未知,False,25.5,0.45,1.8,37279313,24.78,24.78,23.9,58.62,26.4,26.95,28502728.5,96.59,94.62
2034.TW,2034,允強,未知,False,21.55,0.15,0.7,1663001,20.91,20.73,20.53,57.02,22.0,23.95,1705130.15,97.95,89.98
2347.TW,2347,聯強,未知,False,83.9,-0.6,-0.71,5021339,82.56,75.79,68.39,55.28,85.5,85.5,5070676.15,98.13,98.13
2353.TW,2353,宏��,未知,False,28.1,0.0,0.0,22001198,27.75,27.27,27.23,45.95,29.2,30.95,23474947.6,96.23,90.79
2362.TW,2362,藍天,未知,False,39.95,0.55,1.4,1033213,38.71,38.41,39.13,66.34,40.0,44.0,571214.3,99.88,90.8
2385.TW,2385,群光,未知,False,131.0,2.5,1.95,4436179,125.35,123.06,120.95,59.62,132.5,132.5,4116155.75,98.87,98.87
2393.TW,2393,億光,未知,False,72.5,-0.6,-0.82,2819042,71.7,65.55,59.82,49.59,75.0,75.0,2800562.05,96.67,96.67
2420.TW,2420,新巨,未知,False,55.5,0.5,0.91,555987,54.78,52.48,51.63,50.91,56.8,56.8,356720.5,97.71,97.71
2480.TW,2480,敦陽科,未知,False,147.0,-2.5,-1.67,368638,141.7,141.62,145.12,66.67,150.5,161.5,376919.5,97.67,91.02
2606.TW,2606,裕民,未知,False,65.1,0.9,1.4,7338781,62.12,61.72,60.88,54.14,65.6,71.5,4081874.15,99.24,91.05
5519.TW,5519,隆大,未知,False,33.15,0.65,2.0,518821,32.88,32.63,32.18,46.05,33.7,35.55,505107.85,98.37,93.25
6189.TW,6189,豐藝,未知,False,48.35,-0.45,-0.92,989563,47.51,46.65,45.87,56.38,49.95,56.5,889636.0,96.8,85.58
6277.TW,6277,宏正,未知,False,71.5,0.2,0.28,405653,70.56,64.65,63.07,53.51,73.7,75.4,314907.0,97.01,94.83
8926.TW,8926,台汽電,未知,False,46.75,0.05,0.11,2393691,45.29,45.05,43.79,62.15,47.8,49.85,1768798.95,97.8,93.78
00645.TW,00645,富邦日本,未知,True,54.25,1.15,2.17,497571,52.82,51.95,49.92,54.31,54.25,54.7,263586.55,100.0,99.18
00678.TW,00678,群益那斯達克生技,未知,True,36.32,0.61,1.71,413500,36.02,35.77,35.16,45.23,36.88,36.88,282892.9,98.48,98.48
00965.TW,00965,元大航太防衛科技,未知,True,26.15,0.25,0.97,9716367,25.85,25.6,24.5,52.38,26.29,27.06,8613197.9,99.47,96.64
